index,tag,name,B,M,N,K1,K2,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
0,llm,attention_bmnk1k2_1x1024x64x64x1024xf16,1,1024,64,64,1024,f16,89.0,512.0,3.0161,True
1,llm,attention_bmnk1k2_1x1024x128x128x1024xf16,1,1024,128,128,1024,f16,106.0,512.0,5.0648,True
2,llm,attention_bmnk1k2_1x2048x64x64x2048xf16,1,2048,64,64,2048,f16,127.0,1024.0,8.4547,True
3,llm,attention_bmnk1k2_1x2048x128x128x2048xf16,1,2048,128,128,2048,f16,155.0,1024.0,13.8547,True
4,sdxl_unet,attention_bmnk1k2_1x4096x64x64x4096xf16,1,4096,64,64,4096,f16,180.0,2048.0,23.8609,True
5,llm,attention_bmnk1k2_1x4096x128x128x4096xf16,1,4096,128,128,4096,f16,245.0,2048.0,35.061,True
6,llm,attention_bmnk1k2_1x8192x64x64x8192xf16,1,8192,64,64,8192,f16,305.0,4096.0,56.3274,True
7,llm,attention_bmnk1k2_1x8192x128x128x8192xf16,1,8192,128,128,8192,f16,443.0,4096.0,77.5615,True
8,llm,attention_bmnk1k2_1x16384x64x64x16384xf16,1,16384,64,64,16384,f16,573.0,8192.0,119.9293,True
9,llm,attention_bmnk1k2_1x16384x128x128x16384xf16,1,16384,128,128,16384,f16,874.0,8192.0,157.2528,True
10,sdxl_unet,attention_bmnk1k2_2x1024x64x64x1024xf16,2,1024,64,64,1024,f16,90.0,512.0,5.9652,True
11,llm,attention_bmnk1k2_2x1024x128x128x1024xf16,2,1024,128,128,1024,f16,106.0,512.0,10.1296,True
12,llm,attention_bmnk1k2_2x2048x64x64x2048xf16,2,2048,64,64,2048,f16,117.0,1024.0,18.3546,True
13,llm,attention_bmnk1k2_2x2048x128x128x2048xf16,2,2048,128,128,2048,f16,162.0,1024.0,26.5121,True
14,llm,attention_bmnk1k2_2x4096x64x64x4096xf16,2,4096,64,64,4096,f16,179.0,2048.0,47.9885,True
15,llm,attention_bmnk1k2_2x4096x128x128x4096xf16,2,4096,128,128,4096,f16,250.0,2048.0,68.7195,True
16,llm,attention_bmnk1k2_2x8192x64x64x8192xf16,2,8192,64,64,8192,f16,321.0,4096.0,107.0397,True
17,llm,attention_bmnk1k2_2x8192x128x128x8192xf16,2,8192,128,128,8192,f16,475.0,4096.0,144.6726,True
18,llm,attention_bmnk1k2_2x16384x64x64x16384xf16,2,16384,64,64,16384,f16,603.0,8192.0,227.9253,True
19,llm,attention_bmnk1k2_2x16384x128x128x16384xf16,2,16384,128,128,16384,f16,889.0,8192.0,309.199,True
20,llm,attention_bmnk1k2_4x1024x64x64x1024xf16,4,1024,64,64,1024,f16,89.0,512.0,12.0645,True
21,llm,attention_bmnk1k2_4x1024x128x128x1024xf16,4,1024,128,128,1024,f16,107.0,512.0,20.0699,True
22,llm,attention_bmnk1k2_4x2048x64x64x2048xf16,4,2048,64,64,2048,f16,120.0,1024.0,35.7914,True
23,llm,attention_bmnk1k2_4x2048x128x128x2048xf16,4,2048,128,128,2048,f16,157.0,1024.0,54.713,True
24,sdxl_unet,attention_bmnk1k2_4x4096x64x64x4096xf16,4,4096,64,64,4096,f16,186.0,2048.0,92.3649,True
25,llm,attention_bmnk1k2_4x4096x128x128x4096xf16,4,4096,128,128,4096,f16,267.0,2048.0,128.6882,True
26,llm,attention_bmnk1k2_4x8192x64x64x8192xf16,4,8192,64,64,8192,f16,331.0,4096.0,207.6117,True
27,llm,attention_bmnk1k2_4x8192x128x128x8192xf16,4,8192,128,128,8192,f16,484.0,4096.0,283.9648,True
28,llm,attention_bmnk1k2_4x16384x64x64x16384xf16,4,16384,64,64,16384,f16,738.0,8192.0,372.4633,True
29,llm,attention_bmnk1k2_4x16384x128x128x16384xf16,4,16384,128,128,16384,f16,1250.0,8192.0,439.8047,True
30,sdxl_unet,attention_bmnk1k2_8x1024x64x64x1024xf16,8,1024,64,64,1024,f16,90.0,512.0,23.8609,True
31,llm,attention_bmnk1k2_8x1024x128x128x1024xf16,8,1024,128,128,1024,f16,110.0,512.0,39.0452,True
32,llm,attention_bmnk1k2_8x2048x64x64x2048xf16,8,2048,64,64,2048,f16,122.0,1024.0,70.4093,True
33,llm,attention_bmnk1k2_8x2048x128x128x2048xf16,8,2048,128,128,2048,f16,164.0,1024.0,104.7553,True
34,llm,attention_bmnk1k2_8x4096x64x64x4096xf16,8,4096,64,64,4096,f16,196.0,2048.0,175.3048,True
35,llm,attention_bmnk1k2_8x4096x128x128x4096xf16,8,4096,128,128,4096,f16,277.0,2048.0,248.0848,True
36,llm,attention_bmnk1k2_8x8192x64x64x8192xf16,8,8192,64,64,8192,f16,400.0,4096.0,343.5974,True
37,llm,attention_bmnk1k2_8x8192x128x128x8192xf16,8,8192,128,128,8192,f16,649.0,4096.0,423.5407,True
38,llm,attention_bmnk1k2_8x16384x64x64x16384xf16,8,16384,64,64,16384,f16,1370.0,8192.0,401.2816,True
39,llm,attention_bmnk1k2_8x16384x128x128x16384xf16,8,16384,128,128,16384,f16,2400.0,8192.0,458.1298,True
40,llm,attention_bmnk1k2_16x1024x64x64x1024xf16,16,1024,64,64,1024,f16,91.0,512.0,47.1974,True
41,llm,attention_bmnk1k2_16x1024x128x128x1024xf16,16,1024,128,128,1024,f16,121.0,512.0,70.9912,True
42,llm,attention_bmnk1k2_16x2048x64x64x2048xf16,16,2048,64,64,2048,f16,128.0,1024.0,134.2177,True
43,llm,attention_bmnk1k2_16x2048x128x128x2048xf16,16,2048,128,128,2048,f16,166.0,1024.0,206.9864,True
44,llm,attention_bmnk1k2_16x4096x64x64x4096xf16,16,4096,64,64,4096,f16,229.0,2048.0,300.0851,True
45,llm,attention_bmnk1k2_16x4096x128x128x4096xf16,16,4096,128,128,4096,f16,354.0,2048.0,388.2456,True
46,llm,attention_bmnk1k2_16x8192x64x64x8192xf16,16,8192,64,64,8192,f16,721.0,4096.0,381.2454,True
47,llm,attention_bmnk1k2_16x8192x128x128x8192xf16,16,8192,128,128,8192,f16,1230.0,4096.0,446.9559,True
48,llm,attention_bmnk1k2_16x16384x64x64x16384xf16,16,16384,64,64,16384,f16,2290.0,8192.0,480.1361,True
49,llm,attention_bmnk1k2_16x16384x128x128x16384xf16,16,16384,128,128,16384,f16,4320.0,8192.0,509.0332,True
