index,tag,name,B,M,N,K1,K2,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
0,llm,attention_bmnk1k2_1x1024x64x64x1024xf16,1,1024,64,64,1024,f16,98.0,512.0,2.7391,True
1,llm,attention_bmnk1k2_1x1024x128x128x1024xf16,1,1024,128,128,1024,f16,119.0,512.0,4.5115,True
2,llm,attention_bmnk1k2_1x2048x64x64x2048xf16,1,2048,64,64,2048,f16,136.0,1024.0,7.8952,True
3,llm,attention_bmnk1k2_1x2048x128x128x2048xf16,1,2048,128,128,2048,f16,171.0,1024.0,12.5584,True
4,sdxl_unet,attention_bmnk1k2_1x4096x64x64x4096xf16,1,4096,64,64,4096,f16,213.0,2048.0,20.1642,True
5,llm,attention_bmnk1k2_1x4096x128x128x4096xf16,1,4096,128,128,4096,f16,289.0,2048.0,29.723,True
6,llm,attention_bmnk1k2_1x8192x64x64x8192xf16,1,8192,64,64,8192,f16,369.0,4096.0,46.5579,True
7,llm,attention_bmnk1k2_1x8192x128x128x8192xf16,1,8192,128,128,8192,f16,510.0,4096.0,67.372,True
8,llm,attention_bmnk1k2_1x16384x64x64x16384xf16,1,16384,64,64,16384,f16,726.0,8192.0,94.6549,True
9,llm,attention_bmnk1k2_1x16384x128x128x16384xf16,1,16384,128,128,16384,f16,988.0,8192.0,139.1083,True
10,sdxl_unet,attention_bmnk1k2_2x1024x64x64x1024xf16,2,1024,64,64,1024,f16,96.0,512.0,5.5924,True
11,llm,attention_bmnk1k2_2x1024x128x128x1024xf16,2,1024,128,128,1024,f16,148.0,512.0,7.255,True
12,llm,attention_bmnk1k2_2x2048x64x64x2048xf16,2,2048,64,64,2048,f16,135.0,1024.0,15.9073,True
13,llm,attention_bmnk1k2_2x2048x128x128x2048xf16,2,2048,128,128,2048,f16,221.0,1024.0,19.4342,True
14,llm,attention_bmnk1k2_2x4096x64x64x4096xf16,2,4096,64,64,4096,f16,216.0,2048.0,39.7682,True
15,llm,attention_bmnk1k2_2x4096x128x128x4096xf16,2,4096,128,128,4096,f16,380.0,2048.0,45.2102,True
16,llm,attention_bmnk1k2_2x8192x64x64x8192xf16,2,8192,64,64,8192,f16,388.0,4096.0,88.556,True
17,llm,attention_bmnk1k2_2x8192x128x128x8192xf16,2,8192,128,128,8192,f16,774.0,4096.0,88.7849,True
18,llm,attention_bmnk1k2_2x16384x64x64x16384xf16,2,16384,64,64,16384,f16,745.0,8192.0,184.4818,True
19,llm,attention_bmnk1k2_2x16384x128x128x16384xf16,2,16384,128,128,16384,f16,1510.0,8192.0,182.0383,True
