index,tag,name,B,H,W,C,P,Q,F,S,input_dtype,output_dtype,mean_microseconds,arithmetic_intensity,tflops,roofline_tflops,roofline_percent,ok
0,resnet,conv_2d_nhwc_hwcf_1x112x112x64x7x7x3_f16xf16xf32_stride2,1,112,112,64,7,7,3,2,f16,f32,115.0,34.0071,2.0524,1307.4,0.0016,True
1,resnet,conv_2d_nhwc_hwcf_1x56x56x64x3x3x64_f16xf16xf32_stride1,1,56,56,64,3,3,64,1,f16,f32,81.0,176.8837,2.8545,1307.4,0.0022,True
2,resnet,conv_2d_nhwc_hwcf_1x28x28x128x3x3x128_f16xf16xf32_stride2,1,28,28,128,3,3,128,2,f16,f32,97.0,148.4497,2.3836,1307.4,0.0018,True
3,resnet,conv_2d_nhwc_hwcf_1x28x28x512x1x1x256_f16xf16xf32_stride2,1,28,28,512,1,1,256,2,f16,f32,73.0,48.0613,2.8154,1307.4,0.0022,True
4,resnet,conv_2d_nhwc_hwcf_1x28x28x128x3x3x128_f16xf16xf32_stride1,1,28,28,128,3,3,128,1,f16,f32,106.0,249.4939,2.1812,1307.4,0.0017,True
5,resnet,conv_2d_nhwc_hwcf_1x14x14x256x3x3x256_f16xf16xf32_stride2,1,14,14,256,3,3,256,2,f16,f32,137.0,125.5795,1.6877,1307.4,0.0013,True
6,resnet,conv_2d_nhwc_hwcf_1x14x14x1024x1x1x512_f16xf16xf32_stride2,1,14,14,1024,1,1,512,2,f16,f32,91.0,67.2601,2.2585,1307.4,0.0017,True
7,resnet,conv_2d_nhwc_hwcf_1x14x14x256x3x3x256_f16xf16xf32_stride1,1,14,14,256,3,3,256,1,f16,f32,137.0,152.9756,1.6877,1307.4,0.0013,True
8,resnet,conv_2d_nhwc_hwcf_1x7x7x512x3x3x512_f16xf16xf32_stride2,1,7,7,512,3,3,512,2,f16,f32,246.0,45.5042,0.9399,1307.4,0.0007,True
9,resnet,conv_2d_nhwc_hwcf_1x7x7x2048x1x1x1024_f16xf16xf32_stride2,1,7,7,2048,1,1,1024,2,f16,f32,138.0,39.5398,1.4893,1307.4,0.0011,True
10,resnet,conv_2d_nhwc_hwcf_1x7x7x512x3x3x512_f16xf16xf32_stride1,1,7,7,512,3,3,512,1,f16,f32,246.0,47.1677,0.9399,1307.4,0.0007,True
11,resnet,conv_2d_nhwc_hwcf_2x112x112x64x7x7x3_f16xf16xf32_stride2,2,112,112,64,7,7,3,2,f16,f32,132.0,34.0533,3.5762,1307.4,0.0027,True
12,resnet,conv_2d_nhwc_hwcf_2x56x56x64x3x3x64_f16xf16xf32_stride1,2,56,56,64,3,3,64,1,f16,f32,79.0,182.0169,5.8534,1307.4,0.0045,True
13,resnet,conv_2d_nhwc_hwcf_2x28x28x128x3x3x128_f16xf16xf32_stride2,2,28,28,128,3,3,128,2,f16,f32,96.0,163.9739,4.8169,1307.4,0.0037,True
14,resnet,conv_2d_nhwc_hwcf_2x28x28x512x1x1x256_f16xf16xf32_stride2,2,28,28,512,1,1,256,2,f16,f32,73.0,49.581,5.6307,1307.4,0.0043,True
15,resnet,conv_2d_nhwc_hwcf_2x28x28x128x3x3x128_f16xf16xf32_stride1,2,28,28,128,3,3,128,1,f16,f32,97.0,296.7043,4.7672,1307.4,0.0036,True
16,resnet,conv_2d_nhwc_hwcf_2x14x14x256x3x3x256_f16xf16xf32_stride2,2,14,14,256,3,3,256,2,f16,f32,147.0,184.7725,3.1457,1307.4,0.0024,True
17,resnet,conv_2d_nhwc_hwcf_2x14x14x1024x1x1x512_f16xf16xf32_stride2,2,14,14,1024,1,1,512,2,f16,f32,90.0,81.1909,4.5671,1307.4,0.0035,True
18,resnet,conv_2d_nhwc_hwcf_2x14x14x256x3x3x256_f16xf16xf32_stride1,2,14,14,256,3,3,256,1,f16,f32,136.0,250.88,3.4002,1307.4,0.0026,True
19,resnet,conv_2d_nhwc_hwcf_2x7x7x512x3x3x512_f16xf16xf32_stride2,2,7,7,512,3,3,512,2,f16,f32,254.0,84.9481,1.8206,1307.4,0.0014,True
20,resnet,conv_2d_nhwc_hwcf_2x7x7x2048x1x1x1024_f16xf16xf32_stride2,2,7,7,2048,1,1,1024,2,f16,f32,138.0,66.2827,2.9786,1307.4,0.0023,True
