index,tag,name,vmfb_hash,M,N,K,dtype,tA,tB,runtime_dim,mean_microseconds,arithmetic_intensity,tflops,ok
0,llama8b_prefill,gemm_D_4096_14336_f16_f32_tB_D=512,89608bdf0e6a470db419ac9f711da845,-9223372036854775808,4096,14336,f16,N,T,D=512,8460.0,441.1077,7.1075,True
1,llama8b_prefill,gemm_D_14336_4096_f16_f32_tB_D=512,9213a8c975207d77ffd234bec75acecf,-9223372036854775808,14336,4096,f16,N,T,D=512,9810.0,441.1077,6.1294,True
2,llama8b_prefill,gemm_D_4096_4096_f16_f32_tB_D=512,130cce665d6449c6e1749806ff53a0e5,-9223372036854775808,4096,4096,f16,N,T,D=512,2090.0,409.6,8.22,True
3,llama8b_prefill,gemm_D_1024_4096_f16_f32_tB_D=512,f26549eb330c709906dd4a1a9fd624cc,-9223372036854775808,1024,4096,f16,N,T,D=512,551.0,315.0769,7.7949,True
4,llama13bskinny,gemm_32000_2_5120_f16_f32_tB,0d226b0ff2588c701cea68ca13824d7d,32000,2,5120,f16,N,T,,164.0,1.9991,3.9961,True
5,llama13bskinny,gemm_32000_4_5120_f16_f32_tB,4be34ba2c271b8eef70f8ed1585cf97e,32000,4,5120,f16,N,T,,281.0,3.9964,4.6645,True
6,llama13bskinny,gemm_32000_8_5120_f16_f32_tB,6e067968df74f5fa91a6898da819271d,32000,8,5120,f16,N,T,,145.0,7.9855,18.0789,True
7,llama13bskinny,gemm_32000_16_5120_f16_f32_tB,cf0e59fe6e52d7e4305214091c2ebabf,32000,16,5120,f16,N,T,,149.0,15.9422,35.1871,True
8,llama13bskinny,gemm_32000_32_5120_f16_f32_tB,895a11cb9ce6f9f2deea860915e2f942,32000,32,5120,f16,N,T,,156.0,31.7697,67.2164,True
9,llama13bskinny,gemm_15360_2_5120_f16_f32_tB,6681de96a5122008c3976d658c1dfa41,15360,2,5120,f16,N,T,,111.0,1.999,2.834,True
10,llama13bskinny,gemm_15360_4_5120_f16_f32_tB,9ca63200f20ac417d5cda4b495ce621c,15360,4,5120,f16,N,T,,161.0,3.9958,3.9077,True
11,llama13bskinny,gemm_15360_8_5120_f16_f32_tB,b326e02ab6a838d650d26a30f8b2de85,15360,8,5120,f16,N,T,,92.0,7.9834,13.6771,True
12,llama13bskinny,gemm_15360_16_5120_f16_f32_tB,24b17ef241997a29d14195ea8441d5d9,15360,16,5120,f16,N,T,,84.0,15.9336,29.9593,True
