index,tag,name,vmfb_hash,M,N,K,dtype,tA,tB,runtime_dim,mean_microseconds,arithmetic_intensity,tflops,ok
0,llama13bskinny,gemm_32000_2_5120_f16_f32_tB,cb707f6fcce736f1912ff0f72433a570,32000,2,5120,f16,N,T,,190.0,1.9991,3.4493,True
1,llama13bskinny,gemm_32000_4_5120_f16_f32_tB,0db7c91afc9faf67bf058410ae78a574,32000,4,5120,f16,N,T,,190.0,3.9964,6.8985,True
2,llama13bskinny,gemm_32000_8_5120_f16_f32_tB,ca4417c0f9d25e17d50493855e7ca6d6,32000,8,5120,f16,N,T,,190.0,7.9855,13.7971,True
3,llama13bskinny,gemm_32000_16_5120_f16_f32_tB,b1911141389701baed2cb786071b7a84,32000,16,5120,f16,N,T,,190.0,15.9422,27.5941,True
4,llama13bskinny,gemm_32000_32_5120_f16_f32_tB,af699c8fd605a4903f449e344bec4145,32000,32,5120,f16,N,T,,202.0,31.7697,51.9097,True
5,llama13bskinny,gemm_15360_2_5120_f16_f32_tB,2f19fd7644798c995c9e4e905cdd4684,15360,2,5120,f16,N,T,,151.0,1.999,2.0833,True
6,llama13bskinny,gemm_15360_4_5120_f16_f32_tB,8c741cfcee10ac557993982b3a34fd4f,15360,4,5120,f16,N,T,,153.0,3.9958,4.1121,True
7,llama13bskinny,gemm_15360_8_5120_f16_f32_tB,41ba57281b2fe6cfe57e11b5e826862a,15360,8,5120,f16,N,T,,152.0,7.9834,8.2782,True
8,llama13bskinny,gemm_15360_16_5120_f16_f32_tB,2b20f6024d8155d2b4939d09f28a7c2d,15360,16,5120,f16,N,T,,154.0,15.9336,16.3414,True
9,llama13bskinny,gemm_15360_32_5120_f16_f32_tB,f06ce533f50f39b366d3c9dfc90212a6,15360,32,5120,f16,N,T,,159.0,31.7355,31.6551,True
10,llama13bskinny,gemm_5120_2_5120_f16_f32_tB,45b77c11713d83875362eace81c877be,5120,2,5120,f16,N,T,,149.0,1.9984,0.7037,True
11,llama13bskinny,gemm_5120_4_5120_f16_f32_tB,44d69bdbc68a318d1af508453c0e19b3,5120,4,5120,f16,N,T,,146.0,3.9938,1.4364,True
12,llama13bskinny,gemm_5120_8_5120_f16_f32_tB,48e911acda3698cfe6e7d097b25527d3,5120,8,5120,f16,N,T,,149.0,7.9751,2.815,True
13,llama13bskinny,gemm_5120_16_5120_f16_f32_tB,d248e94e513545069a498bdc3dadba62,5120,16,5120,f16,N,T,,151.0,15.9006,5.5554,True
14,llama13bskinny,gemm_5120_32_5120_f16_f32_tB,89aea9fce5d0628fbe92a2ea75236c28,5120,32,5120,f16,N,T,,162.0,31.6049,10.3563,True
