index,tag,name,B,M,N,K1,K2,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
0,llm,attention_1x1024x64x64x1024xf16,1,1024,64,64,1024,f16,96.0,512.0,2.7962,True
1,llm,attention_1x1024x128x128x1024xf16,1,1024,128,128,1024,f16,161.0,512.0,3.3346,True
2,llm,attention_1x2048x64x64x2048xf16,1,2048,64,64,2048,f16,147.0,1024.0,7.3044,True
3,llm,attention_1x2048x128x128x2048xf16,1,2048,128,128,2048,f16,267.0,1024.0,8.043,True
4,sdxl_unet,attention_1x4096x64x64x4096xf16,1,4096,64,64,4096,f16,245.0,2048.0,17.5305,True
5,llm,attention_1x4096x128x128x4096xf16,1,4096,128,128,4096,f16,473.0,2048.0,18.1605,True
6,llm,attention_1x8192x64x64x8192xf16,1,8192,64,64,8192,f16,442.0,4096.0,38.8685,True
7,llm,attention_1x8192x128x128x8192xf16,1,8192,128,128,8192,f16,929.0,4096.0,36.9857,True
8,llm,attention_1x16384x64x64x16384xf16,1,16384,64,64,16384,f16,850.0,8192.0,80.8464,True
9,llm,attention_1x16384x128x128x16384xf16,1,16384,128,128,16384,f16,1880.0,8192.0,73.1058,True
10,sdxl_unet,attention_2x1024x64x64x1024xf16,2,1024,64,64,1024,f16,105.0,512.0,5.1131,True
11,llm,attention_2x1024x128x128x1024xf16,2,1024,128,128,1024,f16,165.0,512.0,6.5075,True
12,llm,attention_2x2048x64x64x2048xf16,2,2048,64,64,2048,f16,147.0,1024.0,14.6087,True
13,llm,attention_2x2048x128x128x2048xf16,2,2048,128,128,2048,f16,265.0,1024.0,16.2074,True
14,llm,attention_2x4096x64x64x4096xf16,2,4096,64,64,4096,f16,249.0,2048.0,34.4977,True
15,llm,attention_2x4096x128x128x4096xf16,2,4096,128,128,4096,f16,497.0,2048.0,34.5671,True
16,llm,attention_2x8192x64x64x8192xf16,2,8192,64,64,8192,f16,457.0,4096.0,75.1854,True
17,llm,attention_2x8192x128x128x8192xf16,2,8192,128,128,8192,f16,946.0,4096.0,72.6422,True
