index,tag,name,B,M,N,K1,K2,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
0,llm,attention_1x1024x64x64x1024xf16,1,1024,64,64,1024,f16,90.0,512.0,2.9826,True
1,llm,attention_1x1024x128x128x1024xf16,1,1024,128,128,1024,f16,111.0,512.0,4.8367,True
2,llm,attention_1x2048x64x64x2048xf16,1,2048,64,64,2048,f16,128.0,1024.0,8.3886,True
3,llm,attention_1x2048x128x128x2048xf16,1,2048,128,128,2048,f16,163.0,1024.0,13.1747,True
4,sdxl_unet,attention_1x4096x64x64x4096xf16,1,4096,64,64,4096,f16,210.0,2048.0,20.4522,True
5,llm,attention_1x4096x128x128x4096xf16,1,4096,128,128,4096,f16,292.0,2048.0,29.4176,True
6,llm,attention_1x8192x64x64x8192xf16,1,8192,64,64,8192,f16,369.0,4096.0,46.5579,True
7,llm,attention_1x8192x128x128x8192xf16,1,8192,128,128,8192,f16,508.0,4096.0,67.6373,True
8,llm,attention_1x16384x64x64x16384xf16,1,16384,64,64,16384,f16,723.0,8192.0,95.0477,True
9,llm,attention_1x16384x128x128x16384xf16,1,16384,128,128,16384,f16,976.0,8192.0,140.8186,True
10,sdxl_unet,attention_2x1024x64x64x1024xf16,2,1024,64,64,1024,f16,84.0,512.0,6.3913,True
11,llm,attention_2x1024x128x128x1024xf16,2,1024,128,128,1024,f16,130.0,512.0,8.2596,True
12,llm,attention_2x2048x64x64x2048xf16,2,2048,64,64,2048,f16,125.0,1024.0,17.1799,True
13,llm,attention_2x2048x128x128x2048xf16,2,2048,128,128,2048,f16,209.0,1024.0,20.5501,True
14,llm,attention_2x4096x64x64x4096xf16,2,4096,64,64,4096,f16,208.0,2048.0,41.2978,True
15,llm,attention_2x4096x128x128x4096xf16,2,4096,128,128,4096,f16,381.0,2048.0,45.0915,True
16,llm,attention_2x8192x64x64x8192xf16,2,8192,64,64,8192,f16,386.0,4096.0,89.0149,True
17,llm,attention_2x8192x128x128x8192xf16,2,8192,128,128,8192,f16,776.0,4096.0,88.556,True
18,llm,attention_2x16384x64x64x16384xf16,2,16384,64,64,16384,f16,742.0,8192.0,185.2277,True
19,llm,attention_2x16384x128x128x16384xf16,2,16384,128,128,16384,f16,1500.0,8192.0,183.2519,True
20,llm,attention_4x1024x64x64x1024xf16,4,1024,64,64,1024,f16,90.0,512.0,11.9305,True
21,llm,attention_4x1024x128x128x1024xf16,4,1024,128,128,1024,f16,132.0,512.0,16.2688,True
22,llm,attention_4x2048x64x64x2048xf16,4,2048,64,64,2048,f16,132.0,1024.0,32.5376,True
23,llm,attention_4x2048x128x128x2048xf16,4,2048,128,128,2048,f16,215.0,1024.0,39.9532,True
24,sdxl_unet,attention_4x4096x64x64x4096xf16,4,4096,64,64,4096,f16,224.0,2048.0,76.6958,True
25,llm,attention_4x4096x128x128x4096xf16,4,4096,128,128,4096,f16,427.0,2048.0,80.4678,True
26,llm,attention_4x8192x64x64x8192xf16,4,8192,64,64,8192,f16,399.0,4096.0,172.2293,True
27,llm,attention_4x8192x128x128x8192xf16,4,8192,128,128,8192,f16,779.0,4096.0,176.43,True
28,llm,attention_4x16384x64x64x16384xf16,4,16384,64,64,16384,f16,1060.0,8192.0,259.3188,True
29,llm,attention_4x16384x128x128x16384xf16,4,16384,128,128,16384,f16,1700.0,8192.0,323.3858,True
