index,tag,name,vmfb_hash,M,N,K,dtype,tA,tB,runtime_dim,mean_microseconds,arithmetic_intensity,tflops,ok
0,llama8b_prefill,gemm_D_4096_14336_f16_f32_tB_D=512,2d1efc30478cb877f4a0cd7c80fd9832,-9223372036854775808,4096,14336,f16,N,T,D=512,9900.0,441.1077,6.0737,True
1,llama8b_prefill,gemm_D_14336_4096_f16_f32_tB_D=512,31bd3249239d2140afdb94294e1e7624,-9223372036854775808,14336,4096,f16,N,T,D=512,15400.0,441.1077,3.9045,True
2,llama8b_prefill,gemm_D_4096_4096_f16_f32_tB_D=512,187db810b8c2f1a7e1630e3aad371906,-9223372036854775808,4096,4096,f16,N,T,D=512,3400.0,409.6,5.0529,True
3,llama8b_prefill,gemm_D_1024_4096_f16_f32_tB_D=512,1b23456dcd148802a6ebb04e50ea6e85,-9223372036854775808,1024,4096,f16,N,T,D=512,858.0,315.0769,5.0058,True
4,llama13bskinny,gemm_32000_2_5120_f16_f32_tB,6c8dd46cc2cb11e688ebc9de574871e3,32000,2,5120,f16,N,T,,182.0,1.9991,3.6009,True
5,llama13bskinny,gemm_32000_4_5120_f16_f32_tB,0b1013a8d171a1f46dbecb70c9e5a56a,32000,4,5120,f16,N,T,,303.0,3.9964,4.3258,True
6,llama13bskinny,gemm_32000_8_5120_f16_f32_tB,0967644eb015302b32d279e327effcb4,32000,8,5120,f16,N,T,,153.0,7.9855,17.1336,True
7,llama13bskinny,gemm_32000_16_5120_f16_f32_tB,05d3e837b48ad9ccc0897bfbfaa5f62f,32000,16,5120,f16,N,T,,152.0,15.9422,34.4926,True
8,llama13bskinny,gemm_32000_32_5120_f16_f32_tB,ad589ecf296280004345be3777f22bbf,32000,32,5120,f16,N,T,,156.0,31.7697,67.2164,True
9,llama13bskinny,gemm_15360_2_5120_f16_f32_tB,649b89538689751a9bcaf4fdc4f9da68,15360,2,5120,f16,N,T,,110.0,1.999,2.8598,True
10,llama13bskinny,gemm_15360_4_5120_f16_f32_tB,5835b1ebcc4c184b5ab00539b83716c6,15360,4,5120,f16,N,T,,170.0,3.9958,3.7009,True
11,llama13bskinny,gemm_15360_8_5120_f16_f32_tB,ec5c7ec10e6959300b82583285c9b66e,15360,8,5120,f16,N,T,,89.0,7.9834,14.1381,True
12,llama13bskinny,gemm_15360_16_5120_f16_f32_tB,4a7b0df714c88e16359c714c7a9df7f4,15360,16,5120,f16,N,T,,83.0,15.9336,30.3203,True
13,llama13bskinny,gemm_15360_32_5120_f16_f32_tB,85fcb35e82e4fe6d6f6ab20dd342ccf2,15360,32,5120,f16,N,T,,88.0,31.7355,57.1951,True
14,llama13bskinny,gemm_5120_2_5120_f16_f32_tB,5b12bfce4503c89a3898f46609bfc91d,5120,2,5120,f16,N,T,,88.0,1.9984,1.1916,True
